number,species,type_primary,type_secondary,name_1,name_2,family,family_order,hp,attack,defense,sp_attack,sp_defense,speed
1,Bulbasaur,Grass,Poison,Bulba,saur,1,1,45,49,49,65,65,45
2,Ivysaur,Grass,Poison,Ivy,saur,1,2,60,62,63,80,80,60
3,Venusaur,Grass,Poison,Venu,saur,1,3,80,82,83,100,100,80
4,Charmander,Fire,,Char,mander,4,1,39,52,43,60,50,65
5,Charmeleon,Fire,,Char,meleon,4,2,58,64,58,80,65,80
6,Charizard,Fire,Flying,Char,izard,4,3,78,84,78,109,85,100
7,Squirtle,Water,,Squirt,tle,7,1,44,48,65,50,64,43
8,Wartortle,Water,,War,tortle,7,2,59,63,80,65,80,58
9,Blastoise,Water,,Blast,toise,7,3,79,83,100,85,105,78
10,Caterpie,Bug,,Cater,pie,10,1,45,30,35,20,20,45
11,Metapod,Bug,,Meta,pod,10,2,50,20,55,25,25,30
12,Butterfree,Bug,Flying,Butter,free,10,3,60,45,50,90,80,70
13,Weedle,Bug,Poison,Wee,dle,13,1,40,35,30,20,20,50
14,Kakuna,Bug,Poison,Kak,una,13,2,45,25,50,25,25,35
15,Beedrill,Bug,Poison,Bee,drill,13,3,65,80,40,45,80,75
16,Pidgey,Normal,Flying,Pid,gey,16,1,40,45,40,35,35,56
17,Pidgeotto,Normal,Flying,Pidge,otto,16,2,63,60,55,50,50,71
18,Pidgeot,Normal,Flying,Pid,geot,16,3,83,80,75,70,70,91
19,Rattata,Normal,,Rat,tata,19,1,30,56,35,25,35,72
20,Raticate,Normal,,Rat,icate,19,2,55,81,60,50,70,97
21,Spearow,Normal,Flying,Spear,row,21,1,40,60,30,31,31,70
22,Fearow,Normal,Flying,Fear,row,21,2,65,90,65,61,61,100
23,Ekans,Poison,,Ek,ans,23,1,35,60,44,40,54,55
24,Arbok,Poison,,Ar,bok,23,2,60,95,69,65,79,80
25,Pikachu,Electric,,Pika,chu,172,2,35,55,40,50,50,90
26,Raichu,Electric,,Rai,chu,172,3,60,90,55,90,80,110
27,Sandshrew,Ground,,Sand,shrew,27,1,50,75,85,20,30,40
28,Sandslash,Ground,,Sand,slash,27,2,75,100,110,45,55,65
29,Nidoran F,Poison,,Nido,ran,29,1,55,47,52,40,40,41
30,Nidorina,Poison,,Nido,rina,29,2,70,62,67,55,55,56
31,Nidoqueen,Poison,Ground,Nido,queen,29,3,90,92,87,75,85,76
32,Nidoran M,Poison,,Nido,ran,32,1,46,57,40,40,40,50
33,Nidorino,Poison,,Nido,rino,32,2,61,72,57,55,55,65
34,Nidoking,Poison,Ground,Nido,king,32,3,81,102,77,85,75,85
35,Clefairy,Fairy,,Clef,fairy,173,2,70,45,48,60,65,35
36,Clefable,Fairy,,Clef,fable,173,3,95,70,73,95,90,60
37,Vulpix,Fire,,Vul,pix,37,1,38,41,40,50,65,65
38,Ninetales,Fire,,Nine,tales,37,2,73,76,75,81,100,100
39,Jigglypuff,Normal,Fairy,Jiggly,puff,174,2,115,45,20,45,25,20
40,Wigglytuff,Normal,Fairy,Wiggly,tuff,174,3,140,70,45,85,50,45
41,Zubat,Poison,Flying,Zu,bat,41,1,40,45,35,30,40,55
42,Golbat,Poison,Flying,Gol,bat,41,2,75,80,70,65,75,90
43,Oddish,Grass,Poison,Odd,ish,43,1,45,50,55,75,65,30
44,Gloom,Grass,Poison,Gloo,oom,43,2,60,65,70,85,75,40
45,Vileplume,Grass,Poison,Vile,plume,43,3,75,80,85,110,90,50
46,Paras,Bug,Grass,Pa,ras,46,1,35,70,55,45,55,25
47,Parasect,Bug,Grass,Para,sect,46,2,60,95,80,60,80,30
48,Venonat,Bug,Poison,Veno,nat,48,1,60,55,50,40,55,45
49,Venomoth,Bug,Poison,Veno,moth,48,2,70,65,60,90,75,90
50,Diglett,Ground,,Dig,lett,50,1,10,55,25,35,45,95
51,Dugtrio,Ground,,Dug,trio,50,2,35,100,50,50,70,120
52,Meowth,Normal,,Meow,th,52,1,40,45,35,40,40,90
53,Persian,Normal,,Per,sian,52,2,65,70,60,65,65,115
54,Psyduck,Water,,Psy,duck,54,1,50,52,48,65,50,55
55,Golduck,Water,,Gol,duck,54,2,80,82,78,95,80,85
56,Mankey,Fighting,,Man,key,56,1,40,80,35,35,45,70
57,Primeape,Fighting,,Prime,ape,56,2,65,105,60,60,70,95
58,Growlithe,Fire,,Growl,lithe,58,1,55,70,45,70,50,60
59,Arcanine,Fire,,Arca,nine,58,2,90,110,80,100,80,95
60,Poliwag,Water,,Poli,wag,60,1,40,50,40,40,40,90
61,Poliwhirl,Water,,Poli,whirl,60,2,65,65,65,50,50,90
62,Poliwrath,Water,Fighting,Poli,wrath,60,3,90,95,95,70,90,70
63,Abra,Psychic,,Ab,ra,63,1,25,20,15,105,55,90
64,Kadabra,Psychic,,Kada,bra,63,2,40,35,30,120,70,105
65,Alakazam,Psychic,,Ala,kazam,63,3,55,50,45,135,95,120
66,Machop,Fighting,,Ma,chop,66,1,70,80,50,35,35,35
67,Machoke,Fighting,,Ma,choke,66,2,80,100,70,50,60,45
68,Machamp,Fighting,,Ma,champ,66,3,90,130,80,65,85,55
69,Bellsprout,Grass,Poison,Bell,sprout,69,1,50,75,35,70,30,40
70,Weepinbell,Grass,Poison,Weepin,bell,69,2,65,90,50,85,45,55
71,Victreebel,Grass,Poison,Victree,bell,69,3,80,105,65,100,70,70
72,Tentacool,Water,Poison,Tenta,cool,72,1,40,40,35,50,100,70
73,Tentacruel,Water,Poison,Tenta,cruel,72,2,80,70,65,80,120,100
74,Geodude,Rock,Ground,Geo,dude,74,1,40,80,100,30,30,20
75,Graveler,Rock,Ground,Grave,ler,74,2,55,95,115,45,45,35
76,Golem,Rock,Ground,Go,lem,74,3,80,120,130,55,65,45
77,Ponyta,Fire,,Pony,ta,77,1,50,85,55,65,65,90
78,Rapidash,Fire,,Rapi,dash,77,2,65,100,70,80,80,105
79,Slowpoke,Water,Psychic,Slow,poke,79,1,90,65,65,40,40,15
80,Slowbro,Water,Psychic,Slow,bro,79,2,95,75,110,100,80,30
81,Magnemite,Steel,Electric,Magne,mite,81,1,25,35,70,95,55,45
82,Magneton,Steel,Electric,Magne,ton,81,2,50,60,95,120,70,70
83,Farfetch'd,Normal,Flying,Far,fetchd,83,1,52,90,55,58,62,60
84,Doduo,Normal,Flying,Do,duo,84,1,35,85,45,35,35,75
85,Dodrio,Normal,Flying,Do,drio,84,2,60,110,70,60,60,110
86,Seel,Water,,See,eel,86,1,65,45,55,45,70,45
87,Dewgong,Water,Ice,Dew,gong,86,2,90,70,80,70,95,70
88,Grimer,Poison,,Gri,mer,88,1,80,80,50,40,50,25
89,Muk,Poison,,Mu,uk,88,2,105,105,75,65,100,50
90,Shellder,Water,,Shell,der,90,1,30,65,100,45,25,40
91,Cloyster,Water,Ice,Cloy,ster,90,2,50,95,180,85,45,70
92,Gastly,Ghost,Poison,Gas,tly,92,1,30,35,30,100,35,80
93,Haunter,Ghost,Poison,Haun,ter,92,2,45,50,45,115,55,95
94,Gengar,Ghost,Poison,Gen,gar,92,3,60,65,60,130,75,110
95,Onix,Rock,Ground,On,nix,95,1,35,45,160,30,45,70
96,Drowzee,Psychic,,Drow,zee,96,1,60,48,45,43,90,42
97,Hypno,Psychic,,Hyp,no,96,2,85,73,70,73,115,67
98,Krabby,Water,,Krab,by,98,1,30,105,90,25,25,50
99,Kingler,Water,,King,ler,98,2,55,130,115,50,50,75
100,Voltorb,Electric,,Volt,orb,100,1,40,30,50,55,55,100
101,Electrode,Electric,,Electr,ode,100,2,60,50,70,80,80,150
102,Exeggcute,Grass,Psychic,Exegg,cute,102,1,60,40,80,60,45,40
103,Exeggutor,Grass,Psychic,Exeggu,tor,102,2,95,95,85,125,75,55
104,Cubone,Ground,,Cu,bone,104,1,50,50,95,40,50,35
105,Marowak,Ground,,Maro,wak,104,2,60,80,110,50,80,45
106,Hitmonlee,Fighting,,Hitmon,lee,236,2,50,120,53,35,110,87
107,Hitmonchan,Fighting,,Hitmon,chan,236,3,50,105,79,35,110,76
108,Lickitung,Normal,,Licki,tung,108,1,90,55,75,60,75,30
109,Koffing,Poison,,Koff,fing,109,1,40,65,95,60,45,35
110,Weezing,Poison,,Wee,zing,109,2,65,90,120,85,70,60
111,Rhyhorn,Ground,Rock,Rhy,horn,111,1,80,85,95,30,30,25
112,Rhydon,Ground,Rock,Rhy,don,111,2,105,130,120,45,45,40
113,Chansey,Normal,,Chan,sey,259,2,250,5,5,35,105,50
114,Tangela,Grass,,Tan,gela,114,1,65,55,115,100,40,60
115,Kangaskhan,Normal,,Kangas,khan,115,1,105,95,80,40,80,90
116,Horsea,Water,,Hor,sea,116,1,30,40,70,70,25,60
117,Seadra,Water,,Sea,dra,116,2,55,65,95,95,45,85
118,Goldeen,Water,,Gol,deen,118,1,45,67,60,35,50,63
119,Seaking,Water,,Sea,king,118,2,80,92,65,65,80,68
120,Staryu,Water,,Star,yu,120,1,30,45,55,70,55,85
121,Starmie,Water,Psychic,Star,mie,120,2,60,75,85,100,85,115
122,Mr. Mime,Psychic,Fairy,Mr.,mime,258,2,40,45,65,100,120,90
123,Scyther,Bug,Flying,Scy,ther,123,1,70,110,80,55,80,105
124,Jynx,Ice,Psychic,Jyn,nx,238,2,65,50,35,115,95,95
125,Electabuzz,Electric,,Electra,buzz,239,2,65,83,57,95,85,105
126,Magmar,Fire,,Magne,mar,240,2,65,95,57,100,85,93
127,Pinsir,Bug,,Pin,sir,127,1,65,125,100,55,70,85
128,Tauros,Normal,,Tau,ros,128,1,75,100,95,40,70,110
129,Magikarp,Water,,Magi,karp,129,1,20,10,55,15,20,80
130,Gyarados,Water,Flying,Gyara,dos,129,2,95,125,79,60,100,81
131,Lapras,Water,Ice,Lap,ras,131,1,130,85,80,85,95,60
132,Ditto,Normal,,Dit,to,132,1,48,48,48,48,48,48
133,Eevee,Normal,,Ee,vee,133,1,55,55,50,45,65,55
134,Vaporeon,Water,,Vapor,eon,133,2,130,65,60,110,95,65
135,Jolteon,Electric,,Jolt,eon,133,3,65,65,60,110,95,130
136,Flareon,Fire,,Fla,reon,133,4,65,130,60,95,110,65
137,Porygon,Normal,,Pory,gon,137,1,65,60,70,85,75,40
138,Omanyte,Rock,Water,Oma,nyte,138,1,35,40,100,90,55,35
139,Omastar,Rock,Water,Oma,star,138,2,70,60,125,115,70,55
140,Kabuto,Rock,Water,Kabu,to,140,1,30,80,90,55,45,55
141,Kabutops,Rock,Water,Kabu,tops,140,2,60,115,105,65,70,80
142,Aerodactyl,Rock,Flying,Aero,dactyl,142,1,80,105,65,60,75,130
143,Snorlax,Normal,,Snor,lax,260,2,160,110,65,65,110,30
144,Articuno,Ice,Flying,Arti,cuno,144,1,90,85,100,95,125,85
145,Zapdos,Electric,Flying,Zap,dos,145,1,90,90,85,125,90,100
146,Moltres,Fire,Flying,Mol,tres,146,1,90,100,90,125,85,90
147,Dratini,Dragon,,Dra,ini,147,1,41,64,45,50,50,50
148,Dragonair,Dragon,,Drago,nair,147,2,61,84,65,70,70,70
149,Dragonite,Dragon,Flying,Drago,nite,147,3,91,134,95,100,100,80
150,Mewtwo,Psychic,,Mew,two,150,1,106,110,90,154,90,130
151,Mew,Psychic,,Mew,ew,151,1,100,100,100,100,100,100
152,Chikorita,Grass,,Chiko,rita,152,1,45,49,65,49,65,45
153,Bayleef,Grass,,Bay,leef,152,2,60,62,80,63,80,60
154,Meganium,Grass,,Mega,nium,152,3,80,82,100,83,100,80
155,Cyndaquil,Fire,,Cynda,quil,155,1,39,52,43,60,50,65
156,Quilava,Fire,,Qui,lava,155,2,58,64,58,80,65,80
157,Typhlosion,Fire,,Typh,losion,155,3,78,84,78,109,85,100
158,Totodile,Water,,Toto,dile,158,1,50,65,64,44,48,43
159,Croconaw,Water,,Croco,naw,158,2,65,80,80,59,63,58
160,Feraligatr,Water,,Fera,ligatr,158,3,85,105,100,79,83,78
161,Sentret,Normal,,Sen,tret,161,1,35,46,34,35,45,20
162,Furret,Normal,,Fur,ret,161,2,85,76,64,45,55,90
163,Hoothoot,Normal,Flying,Hoot,hoot,163,1,60,30,30,36,56,50
164,Noctowl,Normal,Flying,Noct,owl,163,2,100,50,50,86,96,70
165,Ledyba,Bug,Flying,Ledy,ba,165,1,40,20,30,40,80,55
166,Ledian,Bug,Flying,Led,ian,165,2,55,35,50,55,110,85
167,Spinarak,Bug,Poison,Spina,rak,167,1,40,60,40,40,40,30
168,Ariados,Bug,Poison,Aria,dos,167,2,70,90,70,60,70,40
169,Crobat,Poison,Flying,Cro,bat,41,3,85,90,80,70,80,130
170,Chinchou,Water,Electric,Chin,chou,170,1,75,38,38,56,56,67
171,Lanturn,Water,Electric,Lan,turn,170,2,125,58,58,76,76,67
172,Pichu,Electric,,Pi,chu,172,1,20,40,15,35,35,60
173,Cleffa,Fairy,,Clef,fa,173,1,50,25,28,45,55,15
174,Igglybuff,Normal,Fairy,Iggly,buff,174,1,90,30,15,40,20,15
175,Togepi,Fairy,,Toge,pi,175,1,35,20,65,40,65,20
176,Togetic,Fairy,Flying,Toge,tic,175,2,55,40,85,80,105,40
177,Natu,Psychic,Flying,Na,tu,177,1,40,50,45,70,45,70
178,Xatu,Psychic,Flying,Xa,tu,177,2,65,75,70,95,70,95
179,Mareep,Electric,,Ma,reep,179,1,55,40,40,65,45,35
180,Flaaffy,Electric,,Flaa,ffy,179,2,70,55,55,80,60,45
181,Ampharos,Electric,,Ampha,ros,179,3,90,75,85,115,90,55
182,Bellossom,Grass,,Bell,ossom,43,4,75,80,95,90,100,50
183,Marill,Water,Fairy,Ma,rill,252,2,70,20,50,20,50,40
184,Azumarill,Water,Fairy,Azuma,rill,252,3,100,50,80,60,80,50
185,Sudowoodo,Rock,,Sudo,woodo,257,2,70,100,115,30,65,30
186,Politoed,Water,,Poli,toed,60,4,90,75,75,90,100,70
187,Hoppip,Grass,Flying,Hop,pip,187,1,35,35,40,35,55,50
188,Skiploom,Grass,Flying,Skip,loom,187,2,55,45,50,45,65,80
189,Jumpluff,Grass,Flying,Jump,luff,187,3,75,55,70,55,95,110
190,Aipom,Normal,,Ai,pom,190,1,55,70,55,40,55,85
191,Sunkern,Grass,,Sun,kern,191,1,30,30,30,30,30,30
192,Sunflora,Grass,,Sun,flora,191,2,75,75,55,105,85,30
193,Yanma,Bug,Flying,Test,debug,193,1,65,65,45,75,45,95
194,Wooper,Water,Ground,Woo,per,194,1,55,45,45,25,25,15
195,Quagsire,Water,Ground,Quag,sire,194,2,95,85,85,65,65,35
196,Espeon,Psychic,,Es,peon,133,5,65,65,60,130,95,110
197,Umbreon,Dark,,Umb,reon,133,6,95,65,110,60,130,65
198,Murkrow,Dark,Flying,Mur,krow,198,1,60,85,42,85,42,91
199,Slowking,Water,Psychic,Slow,king,79,3,95,75,80,100,110,30
200,Misdreavus,Ghost,,Mis,dreavus,255,1,60,60,60,85,85,85
201,Unown,Psychic,,Un,own,201,1,48,72,48,72,48,48
202,Wobbuffet,Psychic,,Wob,buffet,253,2,190,33,58,33,58,33
203,Girafarig,Normal,Psychic,Gira,farig,203,1,70,80,65,90,65,85
204,Pineco,Bug,,Pine,co,204,1,50,65,90,35,35,15
205,Forretress,Bug,Steel,Forre,tress,204,2,75,90,140,60,60,40
206,Dunsparce,Normal,,Dun,sparce,206,1,100,70,70,65,65,45
207,Gligar,Ground,Flying,Gli,gar,207,1,65,75,105,35,65,85
208,Steelix,Steel,Ground,Stee,lix,95,2,75,85,200,55,65,30
209,Snubbull,Fairy,,Snub,bull,209,1,60,80,50,40,40,30
210,Granbull,Fairy,,Gran,bull,209,2,90,120,75,60,60,45
211,Qwilfish,Water,Poison,Qwil,fish,211,1,65,95,85,55,55,85
212,Scizor,Bug,Steel,Sci,zor,123,2,70,130,100,55,80,65
213,Shuckle,Bug,Rock,Shu,ckle,213,1,20,10,230,10,230,5
